,total_vs_impval,direct_vs_impval,indirect_vs_impval
ABW,"{'correlation': np.float64(0.47794117647058826), 'p_value': np.float64(0.05232854189081124)}","{'correlation': np.float64(0.5245098039215687), 'p_value': np.float64(0.03065401608794889)}","{'correlation': np.float64(0.16176470588235298), 'p_value': np.float64(0.5350755062766513)}"
AFG,"{'correlation': np.float64(0.673399014778325), 'p_value': np.float64(6.2406033159449e-05)}","{'correlation': np.float64(0.819805400971406), 'p_value': np.float64(5.300732272557102e-08)}","{'correlation': np.float64(0.49458128078817726), 'p_value': np.float64(0.006384567892651842)}"
AGO,"{'correlation': np.float64(0.15604395604395604), 'p_value': np.float64(0.594234700580851)}","{'correlation': np.float64(0.6710675127878506), 'p_value': np.float64(0.008603560029350976)}","{'correlation': np.float64(0.03736263736263736), 'p_value': np.float64(0.899093096973967)}"
AIA,"{'correlation': np.float64(0.7939393939393938), 'p_value': np.float64(0.0060999233136969115)}","{'correlation': np.float64(0.7696969696969697), 'p_value': np.float64(0.009221952722215994)}","{'correlation': np.float64(0.33333333333333326), 'p_value': np.float64(0.34659350708733405)}"
ALB,"{'correlation': np.float64(0.857299976105402), 'p_value': np.float64(3.727758927038598e-10)}","{'correlation': np.float64(0.8551522393815896), 'p_value': np.float64(4.5943863948965046e-10)}","{'correlation': np.float64(0.6985610880773331), 'p_value': np.float64(8.739352954737049e-06)}"
AND,"{'correlation': np.float64(0.6119711042311662), 'p_value': np.float64(0.006950274712161289)}","{'correlation': np.float64(0.7299949346589729), 'p_value': np.float64(0.0005832843658791692)}","{'correlation': np.float64(0.19091847265221878), 'p_value': np.float64(0.4479306707266415)}"
ARE,"{'correlation': np.float64(0.4972666633611712), 'p_value': np.float64(0.0012791961454127051)}","{'correlation': np.float64(0.5550154824345801), 'p_value': np.float64(0.0002453584845482806)}","{'correlation': np.float64(0.4106094435246153), 'p_value': np.float64(0.009419160991329643)}"
ARG,"{'correlation': np.float64(0.5802910071115116), 'p_value': np.float64(8.674461482000396e-05)}","{'correlation': np.float64(0.5855774888732602), 'p_value': np.float64(7.20685416271658e-05)}","{'correlation': np.float64(0.47480061539335877), 'p_value': np.float64(0.0019637540722513185)}"
ARM,"{'correlation': np.float64(0.5065628476084539), 'p_value': np.float64(0.004283498574079843)}","{'correlation': np.float64(0.628921023359288), 'p_value': np.float64(0.00019726831516437448)}","{'correlation': np.float64(0.38064516129032255), 'p_value': np.float64(0.037973775727935886)}"
ATG,"{'correlation': np.float64(0.16842105263157894), 'p_value': np.float64(0.4906723619708301)}","{'correlation': np.float64(0.1842105263157895), 'p_value': np.float64(0.45028518879802637)}","{'correlation': np.float64(0.1736842105263158), 'p_value': np.float64(0.4770171488822207)}"
AUS,"{'correlation': np.float64(0.46147353743608327), 'p_value': np.float64(0.0027243745943946332)}","{'correlation': np.float64(0.4754931673580075), 'p_value': np.float64(0.001929936244196652)}","{'correlation': np.float64(0.31543879587607815), 'p_value': np.float64(0.04740187444148358)}"
AUT,"{'correlation': np.float64(0.30830599358908556), 'p_value': np.float64(0.052928032108224526)}","{'correlation': np.float64(0.49126782219926846), 'p_value': np.float64(0.0012864590345495355)}","{'correlation': np.float64(0.0883153546323682), 'p_value': np.float64(0.587884407064192)}"
AZE,"{'correlation': np.float64(0.39133089133089133), 'p_value': np.float64(0.04353823357455357)}","{'correlation': np.float64(0.507098158861834), 'p_value': np.float64(0.006941520949606572)}","{'correlation': np.float64(0.3137973137973138), 'p_value': np.float64(0.11094841624171202)}"
BDI,"{'correlation': np.float64(0.642857142857143), 'p_value': np.float64(0.11939237342741094)}","{'correlation': np.float64(0.642857142857143), 'p_value': np.float64(0.11939237342741094)}","{'correlation': np.float64(0.642857142857143), 'p_value': np.float64(0.11939237342741094)}"
BEL,"{'correlation': np.float64(0.4854998188238477), 'p_value': np.float64(0.0014954564297285761)}","{'correlation': np.float64(0.5220659578417303), 'p_value': np.float64(0.0005499176557629017)}","{'correlation': np.float64(0.2671985277772075), 'p_value': np.float64(0.095557257321735)}"
