,total_vs_impval,direct_vs_impval,indirect_vs_impval
ABW,"{'correlation': np.float64(0.28792569659442724), 'p_value': np.float64(0.2466148887955486)}","{'correlation': np.float64(0.3023735810113519), 'p_value': np.float64(0.22262935502892162)}","{'correlation': np.float64(0.003095975232198142), 'p_value': np.float64(0.990272385227047)}"
AFG,"{'correlation': np.float64(0.5537879664927854), 'p_value': np.float64(0.0014992530600822184)}","{'correlation': np.float64(0.6888493894129273), 'p_value': np.float64(2.5667267415135144e-05)}","{'correlation': np.float64(0.3882523107793935), 'p_value': np.float64(0.033992707456020864)}"
AGO,"{'correlation': np.float64(-0.042895459487824666), 'p_value': np.float64(0.8793532695538793)}","{'correlation': np.float64(0.4301102896395924), 'p_value': np.float64(0.1095441357332997)}","{'correlation': np.float64(-0.13941024333543015), 'p_value': np.float64(0.6202305866883092)}"
AIA,"{'correlation': np.float64(0.3454545454545455), 'p_value': np.float64(0.2980892209030388)}","{'correlation': np.float64(0.3272727272727273), 'p_value': np.float64(0.32589494101284167)}","{'correlation': np.float64(0.02727272727272728), 'p_value': np.float64(0.9365584481926122)}"
ALB,"{'correlation': np.float64(0.7733200031008005), 'p_value': np.float64(1.321427395419447e-07)}","{'correlation': np.float64(0.7752135174278134), 'p_value': np.float64(1.1770556790261121e-07)}","{'correlation': np.float64(0.6218656315466878), 'p_value': np.float64(0.00011191508279453238)}"
AND,"{'correlation': np.float64(0.4308907830342518), 'p_value': np.float64(0.06550666510185446)}","{'correlation': np.float64(0.5430588351581174), 'p_value': np.float64(0.01627080395487469)}","{'correlation': np.float64(0.06055287989687043), 'p_value': np.float64(0.8054883919588827)}"
ARE,"{'correlation': np.float64(0.3047952335364426), 'p_value': np.float64(0.05266342021093076)}","{'correlation': np.float64(0.36762247499766043), 'p_value': np.float64(0.01804935229480198)}","{'correlation': np.float64(0.23121194489091698), 'p_value': np.float64(0.14581149728689502)}"
ARG,"{'correlation': np.float64(0.41652170044801023), 'p_value': np.float64(0.006072745990569497)}","{'correlation': np.float64(0.43231409079555305), 'p_value': np.float64(0.004247604982697412)}","{'correlation': np.float64(0.3222302108862358), 'p_value': np.float64(0.03742111878862832)}"
ARM,"{'correlation': np.float64(0.4112903225806452), 'p_value': np.float64(0.021524765639491288)}","{'correlation': np.float64(0.5224316993986184), 'p_value': np.float64(0.0025705448596778603)}","{'correlation': np.float64(0.2967741935483871), 'p_value': np.float64(0.10496842530252788)}"
ATG,"{'correlation': np.float64(0.007518796992481202), 'p_value': np.float64(0.9749025019933399)}","{'correlation': np.float64(0.0218127130882573), 'p_value': np.float64(0.927271203801959)}","{'correlation': np.float64(0.006015037593984962), 'p_value': np.float64(0.9799209119891911)}"
